0: kd> dqs win32kbase!gDxgkInterface L1000
ffff9d25`eb755fd0  00000000`00260890
ffff9d25`eb7561e0  fffff80d`1d4374a0 dxgkrnl!DxgkCheckMonitorPowerState
ffff9d25`eb7561e8  fffff80d`1d456ee0 dxgkrnl!DxgkCheckExclusiveOwnership
ffff9d25`eb7561f0  00000000`00000000
ffff9d25`eb7561f8  fffff80d`1d511e30 dxgkrnl!DxgkCreateKeyedMutex
ffff9d25`eb756200  fffff80d`1d5125a0 dxgkrnl!DxgkOpenKeyedMutex
ffff9d25`eb756208  fffff80d`1d5124a0 dxgkrnl!DxgkDestroyKeyedMutex
ffff9d25`eb756210  fffff80d`1d511950 dxgkrnl!DxgkAcquireKeyedMutex
ffff9d25`eb756218  fffff80d`1d512b60 dxgkrnl!DxgkReleaseKeyedMutex
ffff9d25`eb756220  fffff80d`1d4b7350 dxgkrnl!DxgkFlushPresentHistory
ffff9d25`eb756228  fffff80d`1d3fc780 dxgkrnl!DxgkGetPathsModality
ffff9d25`eb756230  fffff80d`1d4419f0 dxgkrnl!DxgkFunctionalizePathsModality
ffff9d25`eb756238  fffff80d`1d4426a0 dxgkrnl!DxgkApplyPathsModality
ffff9d25`eb756240  fffff80d`1d4427b0 dxgkrnl!DxgkFinalizePathsModality
ffff9d25`eb756248  fffff80d`1d441f90 dxgkrnl!DxgkPersistPathsModality
ffff9d25`eb756250  fffff80d`1d4431d0 dxgkrnl!DxgkFreePathsModality
ffff9d25`eb756258  fffff80d`1d3fa590 dxgkrnl!DxgkAugmentCdsj
ffff9d25`eb756260  fffff80d`1d429d90 dxgkrnl!DxgkConfigureSharedResource
ffff9d25`eb756268  fffff80d`1d4406e0 dxgkrnl!DxgkGetPresentHistoryReadyEvent
ffff9d25`eb756270  fffff80d`1d3fe460 dxgkrnl!DxgkGetDisplayConfigBufferSizes
ffff9d25`eb756278  fffff80d`1d3fe380 dxgkrnl!DxgkQueryDisplayConfig
ffff9d25`eb756280  fffff80d`1d5172d0 dxgkrnl!DxgkHandleForceProjectionMonitor
ffff9d25`eb756288  fffff80d`1d4fddb0 dxgkrnl!DxgkGetOverlayState
ffff9d25`eb756290  fffff80d`1d437760 dxgkrnl!DxgkCheckVidPnExclusiveOwnership
ffff9d25`eb756298  fffff80d`1d3fba30 dxgkrnl!DxgkUpdateCddDevmodeExtraData
ffff9d25`eb7562a0  fffff80d`1d517740 dxgkrnl!DxgkProcessDisplayCalloutBatch
ffff9d25`eb7562a8  fffff80d`1d428520 dxgkrnl!DxgkDisplayConfigDeviceInfo
ffff9d25`eb7562b0  fffff80d`1d424f70 dxgkrnl!DxgkGetAdapterDeviceDesc
ffff9d25`eb7562b8  fffff80d`1d428db0 dxgkrnl!DxgkGetMonitorInternalInfo
ffff9d25`eb7562c0  fffff80d`1d442390 dxgkrnl!DxgkBeginTopologyTransition
ffff9d25`eb7562c8  fffff80d`1d3fbef0 dxgkrnl!DxgkCompleteTopologyTransition
ffff9d25`eb7562d0  fffff80d`1d4b7990 dxgkrnl!DxgkNeedToEnableCddPrimary
ffff9d25`eb7562d8  fffff80d`1d4bc010 dxgkrnl!DxgkCheckSharedResourceAccess
ffff9d25`eb7562e0  fffff80d`1d3fd420 dxgkrnl!DxgkInvalidateMonitorConnections
ffff9d25`eb7562e8  fffff80d`1d3ff620 dxgkrnl!DxgkWriteDiagEntry
