1: kd> dqs win32kbase!gDxgkInterface L1000
ffffe25a`69d83570  00000000`00280888
ffffe25a`69d83790  00000000`00000000
ffffe25a`69d83798  fffff802`2fa8b360 dxgkrnl!DxgkCreateKeyedMutex
ffffe25a`69d837a0  fffff802`2fa8bb60 dxgkrnl!DxgkOpenKeyedMutex
ffffe25a`69d837a8  fffff802`2fa8ba50 dxgkrnl!DxgkDestroyKeyedMutex
ffffe25a`69d837b0  fffff802`2fa8ae10 dxgkrnl!DxgkAcquireKeyedMutex
ffffe25a`69d837b8  fffff802`2fa8c180 dxgkrnl!DxgkReleaseKeyedMutex
ffffe25a`69d837c0  fffff802`2f9764e0 dxgkrnl!DxgkFlushPresentHistory
ffffe25a`69d837c8  fffff802`2f945490 dxgkrnl!DxgkGetPathsModality
ffffe25a`69d837d0  fffff802`2f975880 dxgkrnl!DxgkFunctionalizePathsModality
ffffe25a`69d837d8  fffff802`2f94e760 dxgkrnl!DxgkApplyPathsModality
ffffe25a`69d837e0  fffff802`2f94e690 dxgkrnl!DxgkFinalizePathsModality
ffffe25a`69d837e8  fffff802`2f94b060 dxgkrnl!DxgkPersistPathsModality
ffffe25a`69d837f0  fffff802`2f949020 dxgkrnl!DxgkFreePathsModality
ffffe25a`69d837f8  fffff802`2f94fd60 dxgkrnl!DxgkAugmentCdsj
ffffe25a`69d83800  fffff802`2f9408a0 dxgkrnl!DxgkConfigureSharedResource
ffffe25a`69d83808  fffff802`2f9533a0 dxgkrnl!DxgkGetPresentHistoryReadyEvent
ffffe25a`69d83810  fffff802`2f943030 dxgkrnl!DxgkGetDisplayConfigBufferSizes
ffffe25a`69d83818  fffff802`2f942dd0 dxgkrnl!DxgkQueryDisplayConfig
ffffe25a`69d83820  fffff802`2f9667a0 dxgkrnl!DxgkHandleForceProjectionMonitor
ffffe25a`69d83828  fffff802`2fa75650 dxgkrnl!DxgkGetOverlayState
ffffe25a`69d83830  fffff802`2f9691a0 dxgkrnl!DxgkCheckVidPnExclusiveOwnership
ffffe25a`69d83838  fffff802`2f978580 dxgkrnl!DxgkUpdateCddDevmodeExtraData
ffffe25a`69d83840  fffff802`2fa90350 dxgkrnl!DxgkProcessDisplayCalloutBatch
ffffe25a`69d83848  fffff802`2f908f60 dxgkrnl!DxgkDisplayConfigDeviceInfo
ffffe25a`69d83850  fffff802`2f9148d0 dxgkrnl!DxgkGetAdapterDeviceDesc
ffffe25a`69d83858  fffff802`2f90ce10 dxgkrnl!DxgkGetMonitorInternalInfo
ffffe25a`69d83860  fffff802`2f966740 dxgkrnl!DxgkBeginTopologyTransition
ffffe25a`69d83868  fffff802`2f966340 dxgkrnl!DxgkCompleteTopologyTransition
ffffe25a`69d83870  fffff802`2fa2a2c0 dxgkrnl!DxgkNeedToEnableCddPrimary
ffffe25a`69d83878  fffff802`2fa2ef40 dxgkrnl!DxgkCheckSharedResourceAccess
ffffe25a`69d83880  fffff802`2f966480 dxgkrnl!DxgkInvalidateMonitorConnections
ffffe25a`69d83888  fffff802`2f943260 dxgkrnl!DxgkWriteDiagEntry
ffffe25a`69d83890  fffff802`2f96df30 dxgkrnl!DxgkValidateDeviceName
ffffe25a`69d83898  fffff802`2f94a9c0 dxgkrnl!DxgkGetAdapterDefaultScaling
ffffe25a`69d838a0  fffff802`2f956320 dxgkrnl!DxgkConvertDisplayConfigCScalingToDdiScaling
ffffe25a`69d838a8  fffff802`2f978280 dxgkrnl!DxgkGetGlobalRawmodeFlag
ffffe25a`69d838b0  fffff802`2fa90540 dxgkrnl!DxgkSetGlobalRawmodeFlag
ffffe25a`69d838b8  fffff802`2f9780b0 dxgkrnl!DxgkQueryModeListCacheLuid
ffffe25a`69d838c0  fffff802`2f9214b0 dxgkrnl!DxgkOfferAllocations
ffffe25a`69d838c8  fffff802`2f9687c0 dxgkrnl!DxgkReclaimAllocations
ffffe25a`69d838d0  fffff802`2fa947a0 dxgkrnl!DxgkCreateOutputDupl
ffffe25a`69d838d8  fffff802`2fa94ce0 dxgkrnl!DxgkDestroyOutputDupl
ffffe25a`69d838e0  fffff802`2fa94e80 dxgkrnl!DxgkOutputDuplGetFrameInfo
ffffe25a`69d838e8  fffff802`2fa95060 dxgkrnl!DxgkOutputDuplGetMetaData
ffffe25a`69d838f0  fffff802`2fa95260 dxgkrnl!DxgkOutputDuplGetPointerShapeData
ffffe25a`69d838f8  fffff802`2f96b6c0 dxgkrnl!DxgkThreadCallout
ffffe25a`69d83900  fffff802`2fa8b6a0 dxgkrnl!DxgkCreateKeyedMutex2
ffffe25a`69d83908  fffff802`2fa8be50 dxgkrnl!DxgkOpenKeyedMutex2
ffffe25a`69d83910  fffff802`2fa8b0b0 dxgkrnl!DxgkAcquireKeyedMutex2
ffffe25a`69d83918  fffff802`2fa8c3c0 dxgkrnl!DxgkReleaseKeyedMutex2
ffffe25a`69d83920  fffff802`2fa7bec0 dxgkrnl!DxgkOutputDuplPresent
ffffe25a`69d83928  fffff802`2fa95540 dxgkrnl!DxgkOutputDuplReleaseFrame
ffffe25a`69d83930  fffff802`2f976970 dxgkrnl!DxgkSessionConnected
ffffe25a`69d83938  fffff802`2f976820 dxgkrnl!DxgkPreSessionDisconnected
ffffe25a`69d83940  fffff802`2f9768e0 dxgkrnl!DxgkSessionDisconnected
ffffe25a`69d83948  fffff802`2f980e40 dxgkrnl!DxgkSessionReconnected
ffffe25a`69d83950  fffff802`2f980b70 dxgkrnl!DxgkGetAdapter
ffffe25a`69d83958  fffff802`2f980d50 dxgkrnl!DxgkReleaseAdapter
ffffe25a`69d83960  fffff802`2f9752c0 dxgkrnl!DxgkDesktopSwitch
ffffe25a`69d83968  fffff802`2f97c230 dxgkrnl!DxgkPinDirectFlipResources
ffffe25a`69d83970  fffff802`2f97c670 dxgkrnl!DxgkUnpinDirectFlipResources
ffffe25a`69d83978  fffff802`2f94da70 dxgkrnl!DxgkStatusChangeNotify
ffffe25a`69d83980  fffff802`2f8ff9f0 dxgkrnl!DxgkEnableUnorderedWaitsForDevice
ffffe25a`69d83988  fffff802`2f956190 dxgkrnl!DxgkCddVerifyCddDevMode
ffffe25a`69d83990  fffff802`2fa676a0 dxgkrnl!DxgkIsVidPnSourceOwnerDwm
